review_id,actual_stars,predicted_stars,valid_json,explanation,raw_output
19,5,4,True,Convenient airport with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Convenient airport with minor issues""}"
20,5,5,True,Excellent experience with minor suggestions,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with minor suggestions""}"
21,5,5,True,Excellent food and great value,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and great value""}"
22,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
23,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
24,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
25,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
26,1,2,True,Reviewer mentions very high prices.,"{""predicted_stars"": 2, ""explanation"": ""Reviewer mentions very high prices.""}"
27,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
28,2,3,True,Mixed review with both positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with both positives and negatives.""}"
29,2,1,True,Very poor service experience,"{""predicted_stars"": 1, ""explanation"": ""Very poor service experience""}"
30,1,1,True,Very negative review,"{""predicted_stars"": 1, ""explanation"": ""Very negative review""}"
31,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
32,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
33,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
34,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
35,5,5,True,Reviewer praises shop's vibe and staff.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer praises shop's vibe and staff.""}"
36,5,5,True,Reviewer loves the sandwiches.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the sandwiches.""}"
37,5,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
38,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
39,2,1,True,Very negative review with wasted money.,"{""predicted_stars"": 1, ""explanation"": ""Very negative review with wasted money.""}"
40,3,2,True,Mostly negative review,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}"
41,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
42,1,2,True,Mostly negative review,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}"
43,3,4,True,Mixed experience with great views,"{""predicted_stars"": 4, ""explanation"": ""Mixed experience with great views""}"
44,4,5,True,Extremely positive review with minor price concern.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with minor price concern.""}"
45,4,5,True,Reviewer loved the food and staff.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved the food and staff.""}"
46,4,5,True,Very positive review,"{""predicted_stars"": 5, ""explanation"": ""Very positive review""}"
47,5,5,True,Reviewer had an excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had an excellent experience""}"
48,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
49,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
50,1,1,True,Very negative review of food quality.,"{""predicted_stars"": 1, ""explanation"": ""Very negative review of food quality.""}"
51,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
52,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
53,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
54,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
55,3,3,True,Mixed review with both positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with both positives and negatives.""}"
56,5,5,True,Excellent food and service overall.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service overall.""}"
57,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
58,5,5,True,Excellent service and food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food.""}"
59,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
60,2,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
61,2,1,True,Reviewer had a very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Reviewer had a very negative experience""}"
62,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
63,3,3,True,Mixed review with some negative comments,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some negative comments""}"
64,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
65,2,2,True,Mostly negative review with some positive notes,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review with some positive notes""}"
66,5,5,True,Excellent dinner and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent dinner and service.""}"
67,5,5,True,Reviewer had excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had excellent experience""}"
68,2,1,True,Reviewer was not impressed,"{""predicted_stars"": 1, ""explanation"": ""Reviewer was not impressed""}"
69,4,5,True,Great time with tasty apps,"{""predicted_stars"": 5, ""explanation"": ""Great time with tasty apps""}"
70,3,3,True,Mixed review with both praise and criticism.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with both praise and criticism.""}"
71,2,1,True,Very negative review,"{""predicted_stars"": 1, ""explanation"": ""Very negative review""}"
72,5,5,True,Review is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}"
73,4,5,True,Reviewer loves the bar and staff.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the bar and staff.""}"
74,3,2,True,Mixed review with negative comments,"{""predicted_stars"": 2, ""explanation"": ""Mixed review with negative comments""}"
75,5,5,True,Reviewer had a terrific experience.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had a terrific experience.""}"
76,2,1,True,Very negative experience with billing issues.,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience with billing issues.""}"
77,5,5,True,Reviewer loves the cafe and food.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the cafe and food.""}"
78,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
79,5,5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}"
80,4,5,True,Review is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}"
81,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
82,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
83,4,5,True,Reviewer is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Reviewer is extremely positive""}"
84,4,4,True,Mixed review with positive overall tone,"{""predicted_stars"": 4, ""explanation"": ""Mixed review with positive overall tone""}"
85,5,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
86,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
87,4,5,True,Very positive experience overall.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience overall.""}"
88,4,5,True,Reviewer enjoyed the food greatly,"{""predicted_stars"": 5, ""explanation"": ""Reviewer enjoyed the food greatly""}"
89,3,4,True,Mostly positive with some limitations,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with some limitations""}"
90,4,5,True,Reviewer had great experience.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had great experience.""}"
91,3,2,True,Mostly negative experience,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience""}"
92,3,3,True,Neutral tone in review title,"{""predicted_stars"": 3, ""explanation"": ""Neutral tone in review title""}"
93,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
94,4,4,True,Nice staff and good coffee,"{""predicted_stars"": 4, ""explanation"": ""Nice staff and good coffee""}"
95,5,5,True,Extremely positive review with high praise.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with high praise.""}"
96,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
97,4,5,True,Always clean and well stocked.,"{""predicted_stars"": 5, ""explanation"": ""Always clean and well stocked.""}"
98,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
99,2,2,True,Mostly negative review,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}"
100,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
101,5,5,True,Reviewer loves the venue,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the venue""}"
102,4,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
103,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
104,2,2,True,Very negative service experience,"{""predicted_stars"": 2, ""explanation"": ""Very negative service experience""}"
105,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
106,1,1,True,Very negative review with harsh criticism,"{""predicted_stars"": 1, ""explanation"": ""Very negative review with harsh criticism""}"
107,2,2,True,Mostly negative due to hidden charges,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative due to hidden charges""}"
108,5,5,True,Reviewer loves the place and service.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place and service.""}"
109,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
110,4,5,True,Reviewer loves the food and service.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the food and service.""}"
111,4,5,True,Extremely positive review with great food.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with great food.""}"
112,4,5,True,Reviewer loves the store's products and services.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the store's products and services.""}"
113,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
114,5,5,True,Reviewer loves the sushi place.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the sushi place.""}"
115,4,5,True,Reviewer praises the pizzeria highly.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer praises the pizzeria highly.""}"
116,3,3,True,Mixed review with some positive aspects,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some positive aspects""}"
117,1,2,True,Mostly negative review,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}"
118,5,5,True,Reviewer loves the coffee shop.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the coffee shop.""}"
119,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
120,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
121,5,5,True,Extremely positive review with glowing praise.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with glowing praise.""}"
122,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
123,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
124,4,5,True,Reviewer had a great experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had a great experience""}"
125,4,5,True,Reviewer loves the food and drinks.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the food and drinks.""}"
126,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
127,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
128,5,5,True,Reviewer praises the theater highly,"{""predicted_stars"": 5, ""explanation"": ""Reviewer praises the theater highly""}"
129,4,5,True,Very positive review with excellent food,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with excellent food""}"
130,3,4,True,Mixed review with some positive experiences,"{""predicted_stars"": 4, ""explanation"": ""Mixed review with some positive experiences""}"
131,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
132,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
133,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
134,5,5,True,Reviewer had excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had excellent experience""}"
135,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
136,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
137,3,4,True,Mostly positive review,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive review""}"
138,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
139,4,5,True,Very positive review with minor issues.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with minor issues.""}"
140,1,2,True,Mostly negative review with some positive notes,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review with some positive notes""}"
141,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
142,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
143,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
144,3,2,True,Mixed review with mostly negative sentiment,"{""predicted_stars"": 2, ""explanation"": ""Mixed review with mostly negative sentiment""}"
145,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
146,5,5,True,Review is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}"
147,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
148,4,5,True,Reviewer loves the food and service.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the food and service.""}"
149,3,5,True,Review is extremely positive overall,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive overall""}"
150,4,5,True,Reviewer loves the pizza,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the pizza""}"
151,5,5,True,Exceptional experience at gardens,"{""predicted_stars"": 5, ""explanation"": ""Exceptional experience at gardens""}"
152,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
153,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
154,2,2,True,Mostly negative review due to poor service,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review due to poor service""}"
155,5,5,True,Reviewer had excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had excellent experience""}"
156,4,5,True,Review is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}"
157,1,1,True,Reviewer hated the experience,"{""predicted_stars"": 1, ""explanation"": ""Reviewer hated the experience""}"
158,2,2,True,Mostly negative review due to high prices,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review due to high prices""}"
159,3,3,True,Mixed review with some positive comments,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some positive comments""}"
160,4,5,True,Reviewer praises food and drinks highly.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer praises food and drinks highly.""}"
161,2,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
162,1,1,True,Very negative service experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative service experience""}"
163,4,5,True,Extremely positive review with happy experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with happy experience""}"
164,4,5,True,Reviewer loved the place.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved the place.""}"
165,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
166,4,5,True,Reviewer loves the freshness,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the freshness""}"
167,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
168,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
169,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
170,3,5,True,Reviewer recommends for kids.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer recommends for kids.""}"
171,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
172,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
173,5,5,True,Extremely positive review with minor issues.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with minor issues.""}"
174,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
175,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
176,3,2,True,Reviewer found food overpriced.,"{""predicted_stars"": 2, ""explanation"": ""Reviewer found food overpriced.""}"
177,1,1,True,Very poor customer service.,"{""predicted_stars"": 1, ""explanation"": ""Very poor customer service.""}"
178,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
179,4,5,True,Reviewer enjoyed the place very much.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer enjoyed the place very much.""}"
180,3,5,True,Review is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}"
181,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
182,5,5,True,Reviewer loved happy hour menu,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved happy hour menu""}"
183,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
184,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
185,2,3,True,Mixed sentiment with some positivity,"{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with some positivity""}"
186,4,5,True,Overall very positive review,"{""predicted_stars"": 5, ""explanation"": ""Overall very positive review""}"
187,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
188,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
189,5,5,True,Excellent experience with great quality food,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great quality food""}"
190,3,3,True,Mixed review with both positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with both positives and negatives.""}"
191,4,5,True,Reviewer had an excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had an excellent experience""}"
192,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
193,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
194,5,5,True,Reviewer loves the place.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place.""}"
195,4,5,True,Reviewer loves Apple products.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves Apple products.""}"
196,4,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
197,3,5,True,Extremely positive review overall.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review overall.""}"
198,4,5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}"
199,5,5,True,Reviewer loves the place,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place""}"
