review_id,actual_stars,predicted_stars,valid_json,explanation,raw_output
39,2,1,True,Extremely negative experience,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}"
40,3,2,True,Mostly negative experience,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience""}"
41,1,1,True,Bad food and service issues,"{""predicted_stars"": 1, ""explanation"": ""Bad food and service issues""}"
42,1,2,True,Major complaints,"{""predicted_stars"": 2, ""explanation"": ""Major complaints""}"
43,3,3,True,Mixed feelings about hike,"{""predicted_stars"": 3, ""explanation"": ""Mixed feelings about hike""}"
44,4,5,True,Great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Great food and service.""}"
45,4,5,True,Excellent food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service""}"
46,4,4,True,"Nice store, good products","{""predicted_stars"": 4, ""explanation"": ""Nice store, good products""}"
47,5,5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}"
48,4,5,True,Excellent experience overall,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience overall""}"
49,1,1,True,Terrible experience,"{""predicted_stars"": 1, ""explanation"": ""Terrible experience""}"
50,1,1,True,Terrible food quality,"{""predicted_stars"": 1, ""explanation"": ""Terrible food quality""}"
51,3,3,True,Average experience,"{""predicted_stars"": 3, ""explanation"": ""Average experience""}"
52,4,5,True,Excellent atmosphere,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent atmosphere""
}"
53,4,4,True,Good food and service,"{""predicted_stars"": 4, ""explanation"": ""Good food and service""}"
54,4,4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}"
55,3,3,True,Mixed feelings about experience,"{
    ""predicted_stars"": 3,
    ""explanation"": ""Mixed feelings about experience""
}"
56,5,5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}"
57,5,5,True,Reviewer loves it,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves it""}"
58,5,5,True,Excellent service and food.,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent service and food.""
}"
59,1,2,True,Multiple problems noted,"{""predicted_stars"": 2, ""explanation"": ""Multiple problems noted""}"
60,2,1,True,Business was closed,"{""predicted_stars"": 1, ""explanation"": ""Business was closed""}"
61,2,2,True,Multiple complaints,"{""predicted_stars"": 2, ""explanation"": ""Multiple complaints""}"
62,4,4,True,"Great atmosphere, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great atmosphere, minor complaints""}"
63,3,3,True,Average experience expected more,"{""predicted_stars"": 3, ""explanation"": ""Average experience expected more""}"
64,4,4,True,"Great food, dirty dining room","{""predicted_stars"": 4, ""explanation"": ""Great food, dirty dining room""}"
65,2,2,True,Multiple major complaints,"{
    ""predicted_stars"": 2,
    ""explanation"": ""Multiple major complaints""
}"
66,5,5,True,Excellent dinner,"{""predicted_stars"": 5, ""explanation"": ""Excellent dinner""}"
67,5,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
68,2,2,True,Food quality was poor,"{""predicted_stars"": 2, ""explanation"": ""Food quality was poor""}"
69,4,5,True,"Great time, excellent service","{""predicted_stars"": 5, ""explanation"": ""Great time, excellent service""}"
70,3,3,True,Average due to slow service,"{
    ""predicted_stars"": 3,
    ""explanation"": ""Average due to slow service""
}"
71,2,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
72,5,5,True,Excellent experience,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent experience""
}"
73,4,5,True,"Great bar, no complaints.","{""predicted_stars"": 5, ""explanation"": ""Great bar, no complaints.""}"
74,3,3,True,Mixed feelings about experience,"{""predicted_stars"": 3, ""explanation"": ""Mixed feelings about experience""}"
75,5,5,True,Terrific experience,"{""predicted_stars"": 5, ""explanation"": ""Terrific experience""}"
76,2,2,True,Double billed twice,"{""predicted_stars"": 2, ""explanation"": ""Double billed twice""}"
77,5,5,True,Reviewer loves the cafe,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the cafe""}"
78,3,4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}"
79,5,5,True,Excellent food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service""}"
80,4,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
81,4,4,True,Good food and service,"{""predicted_stars"": 4, ""explanation"": ""Good food and service""}"
82,4,4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}"
83,4,4,True,Reviewer likes everything,"{""predicted_stars"": 4, ""explanation"": ""Reviewer likes everything""}"
84,4,4,True,"Good food, great atmosphere.","{""predicted_stars"": 4, ""explanation"": ""Good food, great atmosphere.""}"
85,5,4,True,"Great park, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great park, minor complaints""}"
86,5,5,True,Excellent service and quality.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and quality.""}"
87,4,5,True,Great value and service,"{""predicted_stars"": 5, ""explanation"": ""Great value and service""}"
88,4,5,True,Excellent food quality,"{""predicted_stars"": 5, ""explanation"": ""Excellent food quality""}"
89,3,4,True,Good experience overall.,"{""predicted_stars"": 4, ""explanation"": ""Good experience overall.""}"
90,4,5,True,Great experience overall,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Great experience overall""
}"
91,3,3,True,Average experience overall.,"{""predicted_stars"": 3, ""explanation"": ""Average experience overall.""}"
92,3,1,True,No details given,"{""predicted_stars"": 1, ""explanation"": ""No details given""}"
93,5,5,True,Excellent experience overall,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience overall""}"
94,4,4,True,Nice staff and good coffee,"{""predicted_stars"": 4, ""explanation"": ""Nice staff and good coffee""}"
95,5,5,True,Excellent food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service""}"
96,4,4,True,Minor pool complaint,"{""predicted_stars"": 4, ""explanation"": ""Minor pool complaint""}"
97,4,5,True,Always clean and well stocked.,"{""predicted_stars"": 5, ""explanation"": ""Always clean and well stocked.""}"
98,4,4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}"
99,2,2,True,Overpriced,"{""predicted_stars"": 2, ""explanation"": ""Overpriced""}"
100,4,4,True,"Minor complaints, mostly positive","{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaints, mostly positive""
}"
101,5,5,True,Reviewer loves venue,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves venue""}"
102,4,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
103,4,2,True,Not recommended,"{""predicted_stars"": 2, ""explanation"": ""Not recommended""}"
104,2,2,True,Rude service,"{""predicted_stars"": 2, ""explanation"": ""Rude service""}"
105,3,4,True,"Great service, some issues","{""predicted_stars"": 4, ""explanation"": ""Great service, some issues""}"
106,1,1,True,Extremely negative review,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative review""}"
107,2,2,True,Hidden fees caused dissatisfaction,"{""predicted_stars"": 2, ""explanation"": ""Hidden fees caused dissatisfaction""}"
108,5,5,True,Excellent overall experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent overall experience""}"
109,5,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
110,4,5,True,Excellent food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service""}"
111,4,5,True,All aspects praised,"{""predicted_stars"": 5, ""explanation"": ""All aspects praised""}"
112,4,5,True,Excellent service and selection.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and selection.""}"
113,3,4,True,Minor complaints exist,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaints exist""
}"
114,5,5,True,Excellent overall experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent overall experience""}"
115,4,5,True,Reviewer loves the place,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place""}"
116,3,3,True,Average experience overall,"{""predicted_stars"": 3, ""explanation"": ""Average experience overall""}"
117,1,2,True,Not recommended due issues,"{""predicted_stars"": 2, ""explanation"": ""Not recommended due issues""}"
118,5,5,True,Reviewer loves Coffee Bean,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves Coffee Bean""}"
119,3,4,True,Minor complaint about veggies,"{""predicted_stars"": 4, ""explanation"": ""Minor complaint about veggies""}"
120,1,1,True,Terrible experience overall,"{""predicted_stars"": 1, ""explanation"": ""Terrible experience overall""}"
121,5,5,True,Excellent experience overall.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience overall.""}"
122,4,4,True,Minor complaint about spice,"{""predicted_stars"": 4, ""explanation"": ""Minor complaint about spice""}"
123,4,4,True,Clean and speedy service,"{""predicted_stars"": 4, ""explanation"": ""Clean and speedy service""}"
124,4,5,True,Great experience overall,"{""predicted_stars"": 5, ""explanation"": ""Great experience overall""}"
125,4,5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}"
126,4,4,True,Minor complaints overall,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaints overall""
}"
127,4,5,True,Excellent experience overall,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience overall""}"
128,5,5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}"
129,4,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
130,3,3,True,Mixed experience overall.,"{""predicted_stars"": 3, ""explanation"": ""Mixed experience overall.""}"
131,4,4,True,Minor complaint about music,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaint about music""
}"
132,3,4,True,Minor complaints overall.,"{""predicted_stars"": 4, ""explanation"": ""Minor complaints overall.""}"
133,4,4,True,Great food and value,"{""predicted_stars"": 4, ""explanation"": ""Great food and value""}"
134,5,5,True,Excellent service,"{""predicted_stars"": 5, ""explanation"": ""Excellent service""}"
135,5,5,True,Excellent service and food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food.""}"
136,4,4,True,"Good food, uninterested service","{
    ""predicted_stars"": 4,
    ""explanation"": ""Good food, uninterested service""
}"
137,3,4,True,Great local course,"{""predicted_stars"": 4, ""explanation"": ""Great local course""}"
138,4,4,True,Minor complaints,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaints""
}"
139,4,5,True,Excellent service and food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food.""}"
140,1,2,True,Not recommended for adults.,"{""predicted_stars"": 2, ""explanation"": ""Not recommended for adults.""}"
141,5,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
142,4,4,True,Good but not great,"{""predicted_stars"": 4, ""explanation"": ""Good but not great""}"
143,4,4,True,Mostly positive review,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive review""}"
144,3,3,True,Average experience overall.,"{""predicted_stars"": 3, ""explanation"": ""Average experience overall.""}"
145,5,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
146,5,5,True,Excellent service and food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food.""}"
147,4,4,True,Nice place for coffee,"{""predicted_stars"": 4, ""explanation"": ""Nice place for coffee""}"
148,4,4,True,Minor complaint about pork,"{""predicted_stars"": 4, ""explanation"": ""Minor complaint about pork""}"
149,3,5,True,Excellent service,"{""predicted_stars"": 5, ""explanation"": ""Excellent service""}"
150,4,5,True,Excellent NY style pizza,"{""predicted_stars"": 5, ""explanation"": ""Excellent NY style pizza""}"
151,5,5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}"
152,5,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
153,4,4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}"
154,2,2,True,Poor service and overpriced,"{""predicted_stars"": 2, ""explanation"": ""Poor service and overpriced""}"
155,5,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
156,4,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
157,1,1,True,Disgusting food,"{""predicted_stars"": 1, ""explanation"": ""Disgusting food""}"
158,2,2,True,Overpriced and pretentious,"{""predicted_stars"": 2, ""explanation"": ""Overpriced and pretentious""}"
159,3,3,True,Mixed feelings overall.,"{""predicted_stars"": 3, ""explanation"": ""Mixed feelings overall.""}"
160,4,5,True,Always reliably good,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Always reliably good""
}"
161,2,1,True,Broken down car,"{""predicted_stars"": 1, ""explanation"": ""Broken down car""}"
162,1,2,True,Poor service and okay food.,"{""predicted_stars"": 2, ""explanation"": ""Poor service and okay food.""}"
163,4,5,True,Everyone left happy,"{""predicted_stars"": 5, ""explanation"": ""Everyone left happy""}"
164,4,4,True,Meets expectations.,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Meets expectations.""
}"
165,5,5,True,Perfect meal,"{""predicted_stars"": 5, ""explanation"": ""Perfect meal""}"
166,4,5,True,"Fresh food, highly recommended","{""predicted_stars"": 5, ""explanation"": ""Fresh food, highly recommended""}"
167,4,4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}"
168,4,4,True,Minor complaints exist,"{""predicted_stars"": 4, ""explanation"": ""Minor complaints exist""}"
169,4,4,True,Minor complaints overall,"{""predicted_stars"": 4, ""explanation"": ""Minor complaints overall""}"
170,3,4,True,Recommended for kids.,"{""predicted_stars"": 4, ""explanation"": ""Recommended for kids.""}"
171,3,4,True,Mostly positive experience,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Mostly positive experience""
}"
172,4,4,True,"Great food, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great food, minor complaints""}"
173,5,5,True,Excellent tour experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent tour experience""}"
174,5,5,True,Excellent service and experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and experience""}"
175,4,4,True,Great food and service,"{""predicted_stars"": 4, ""explanation"": ""Great food and service""}"
176,3,2,True,Overpriced food,"{""predicted_stars"": 2, ""explanation"": ""Overpriced food""}"
177,1,1,True,Extremely poor service,"{""predicted_stars"": 1, ""explanation"": ""Extremely poor service""}"
178,3,4,True,"Minor complaints, mostly positive","{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaints, mostly positive""
}"
179,4,5,True,Reviewer enjoyed experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer enjoyed experience""}"
180,3,5,True,All positive comments,"{""predicted_stars"": 5, ""explanation"": ""All positive comments""}"
181,5,5,True,Excellent service and value,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent service and value""
}"
182,5,5,True,Excellent happy hour,"{""predicted_stars"": 5, ""explanation"": ""Excellent happy hour""}"
183,5,5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}"
184,4,4,True,"Good food, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Good food, minor complaints""}"
185,2,3,True,Average experience expected,"{""predicted_stars"": 3, ""explanation"": ""Average experience expected""}"
186,4,4,True,Minor complaint,"{""predicted_stars"": 4, ""explanation"": ""Minor complaint""}"
187,3,4,True,"Good food, minor complaints","{
    ""predicted_stars"": 4,
    ""explanation"": ""Good food, minor complaints""
}"
188,5,5,True,Excellent service and food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food.""}"
189,5,5,True,Great quality food,"{""predicted_stars"": 5, ""explanation"": ""Great quality food""}"
190,3,3,True,Mixed food quality,"{""predicted_stars"": 3, ""explanation"": ""Mixed food quality""}"
191,4,5,True,Outstanding experience,"{""predicted_stars"": 5, ""explanation"": ""Outstanding experience""}"
192,5,5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}"
193,3,4,True,Good coffee and food.,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Good coffee and food.""
}"
194,5,5,True,Reviewer loves the place,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place""}"
195,4,5,True,Loves Apple products,"{""predicted_stars"": 5, ""explanation"": ""Loves Apple products""}"
196,4,5,True,Excellent food and value,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and value""}"
197,3,4,True,Great food and service,"{""predicted_stars"": 4, ""explanation"": ""Great food and service""}"
198,4,5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}"
199,5,5,True,Fantastic experience,"{""predicted_stars"": 5, ""explanation"": ""Fantastic experience""}"
