review_id,actual_stars,v1_predicted_stars,v1_valid_json,v1_explanation,v1_raw_output,v2_predicted_stars,v2_valid_json,v2_explanation,v2_raw_output,v3_predicted_stars,v3_valid_json,v3_explanation,v3_raw_output
12,3,5,True,Reviewer is extremely enthusiastic,"{""predicted_stars"": 5, ""explanation"": ""Reviewer is extremely enthusiastic""}",5,True,Reviewer loves product,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves product""}",5,True,Very positive tone,"{""predicted_stars"": 5, ""explanation"": ""Very positive tone""}"
13,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Minor complaints exist,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaints exist""
}",4,True,Mostly positive experience with minor staff issue.,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with minor staff issue.""}"
14,5,5,True,Excellent service and support.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and support.""}",5,True,Excellent service,"{""predicted_stars"": 5, ""explanation"": ""Excellent service""}",5,True,Very helpful and supportive service,"{""predicted_stars"": 5, ""explanation"": ""Very helpful and supportive service""}"
15,2,3,True,Mixed review with average food,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with average food""}",3,True,Average food and high prices,"{""predicted_stars"": 3, ""explanation"": ""Average food and high prices""}",3,True,Average experience with mixed positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Average experience with mixed positives and negatives.""}"
16,4,2,True,Reviewer had negative experience,"{""predicted_stars"": 2, ""explanation"": ""Reviewer had negative experience""}",2,True,Major issues with service,"{""predicted_stars"": 2, ""explanation"": ""Major issues with service""}",2,True,Negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Negative experience with multiple issues""}"
17,4,5,True,Reviewer had a great experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had a great experience""}",5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}",5,True,Very positive review with helpful tip,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with helpful tip""}"
18,5,5,True,Reviewer uses very positive language.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer uses very positive language.""}",5,True,"Great food, no complaints.","{""predicted_stars"": 5, ""explanation"": ""Great food, no complaints.""}",5,True,Very positive review with strong praise,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with strong praise""}"
19,5,4,True,Convenient airport with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Convenient airport with minor issues""}",4,True,Convenient airport,"{""predicted_stars"": 4, ""explanation"": ""Convenient airport""}",4,True,Convenient airport with minor limitations,"{""predicted_stars"": 4, ""explanation"": ""Convenient airport with minor limitations""}"
20,5,5,True,Excellent experience with minor suggestions,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with minor suggestions""}",5,True,Excellent food quality,"{""predicted_stars"": 5, ""explanation"": ""Excellent food quality""}",5,True,Excellent experience with minor suggestions,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with minor suggestions""}"
21,5,5,True,Excellent food and great value,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and great value""}",5,True,Great food and service,"{""predicted_stars"": 5, ""explanation"": ""Great food and service""}",5,True,Excellent food and service with great value,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service with great value""}"
22,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,"Rude staff, overpriced","{
    ""predicted_stars"": 1,
    ""explanation"": ""Rude staff, overpriced""
}",1,True,Extremely negative experience with multiple issues,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with multiple issues""}"
23,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,"Great service, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great service, minor complaints""}",4,True,Generally positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor issues""}"
24,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}",5,True,Excellent food and service,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent food and service""
}",5,True,Excellent experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
25,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Good food and value.,"{""predicted_stars"": 4, ""explanation"": ""Good food and value.""}",4,True,Good experience with satisfying food,"{""predicted_stars"": 4, ""explanation"": ""Good experience with satisfying food""}"
26,1,2,True,Reviewer mentions very high prices.,"{""predicted_stars"": 2, ""explanation"": ""Reviewer mentions very high prices.""}",2,True,High prices,"{""predicted_stars"": 2, ""explanation"": ""High prices""}",2,True,Negative review due to high prices,"{""predicted_stars"": 2, ""explanation"": ""Negative review due to high prices""}"
27,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Minor complaints exist,"{""predicted_stars"": 4, ""explanation"": ""Minor complaints exist""}",4,True,Generally positive with minor price complaints,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor price complaints""}"
28,2,3,True,Mixed review with both positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with both positives and negatives.""}",2,True,Multiple complaints exist,"{""predicted_stars"": 2, ""explanation"": ""Multiple complaints exist""}",2,True,Mixed experience with several issues,"{""predicted_stars"": 2, ""explanation"": ""Mixed experience with several issues""}"
29,2,1,True,Very poor service experience,"{""predicted_stars"": 1, ""explanation"": ""Very poor service experience""}",2,True,Poor service,"{""predicted_stars"": 2, ""explanation"": ""Poor service""}",2,True,Multiple service issues and poor experience,"{""predicted_stars"": 2, ""explanation"": ""Multiple service issues and poor experience""}"
30,1,1,True,Very negative review,"{""predicted_stars"": 1, ""explanation"": ""Very negative review""}",1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Extremely negative experience with bad food,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with bad food""}"
31,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Extremely negative experience,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}",1,True,Extremely negative experience with multiple issues,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with multiple issues""}"
32,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,"Good food, minor complaints","{
    ""predicted_stars"": 4,
    ""explanation"": ""Good food, minor complaints""
}",4,True,Good food with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Good food with minor issues""}"
33,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}",5,True,Reviewer loved everything,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved everything""}",5,True,Extremely positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with no complaints.""}"
34,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}",5,True,Clean and efficient,"{""predicted_stars"": 5, ""explanation"": ""Clean and efficient""}",5,True,Exceptional cleanliness and service,"{""predicted_stars"": 5, ""explanation"": ""Exceptional cleanliness and service""}"
35,5,5,True,Reviewer praises shop's vibe and staff.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer praises shop's vibe and staff.""}",5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}",5,True,Very positive experience with friendly staff,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with friendly staff""}"
36,5,5,True,Reviewer loves the sandwiches.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the sandwiches.""}",5,True,Excellent food quality,"{""predicted_stars"": 5, ""explanation"": ""Excellent food quality""}",5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
37,5,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,"Good food, minor complaints","{
    ""predicted_stars"": 4,
    ""explanation"": ""Good food, minor complaints""
}",4,True,"Good food, minor issues with wait and portion size","{""predicted_stars"": 4, ""explanation"": ""Good food, minor issues with wait and portion size""}"
38,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,"Great food, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great food, minor complaints""}",4,True,Generally positive with minor ordering style issue,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor ordering style issue""}"
39,2,1,True,Very negative review with wasted money.,"{""predicted_stars"": 1, ""explanation"": ""Very negative review with wasted money.""}",1,True,Extremely negative experience,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}",1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
40,3,2,True,Mostly negative review,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}",2,True,Mostly negative experience,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience""}",2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
41,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Bad food and service issues,"{""predicted_stars"": 1, ""explanation"": ""Bad food and service issues""}",1,True,Extremely negative experience with bad food and service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with bad food and service""}"
42,1,2,True,Mostly negative review,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}",2,True,Major complaints,"{""predicted_stars"": 2, ""explanation"": ""Major complaints""}",2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
43,3,4,True,Mixed experience with great views,"{""predicted_stars"": 4, ""explanation"": ""Mixed experience with great views""}",3,True,Mixed feelings about hike,"{""predicted_stars"": 3, ""explanation"": ""Mixed feelings about hike""}",2,True,Mixed experience with several issues,"{""predicted_stars"": 2, ""explanation"": ""Mixed experience with several issues""}"
44,4,5,True,Extremely positive review with minor price concern.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with minor price concern.""}",5,True,Great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Great food and service.""}",5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
45,4,5,True,Reviewer loved the food and staff.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved the food and staff.""}",5,True,Excellent food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service""}",5,True,Excellent experience with great food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service""}"
46,4,5,True,Very positive review,"{""predicted_stars"": 5, ""explanation"": ""Very positive review""}",4,True,"Nice store, good products","{""predicted_stars"": 4, ""explanation"": ""Nice store, good products""}",5,True,Very positive experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
47,5,5,True,Reviewer had an excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had an excellent experience""}",5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}",5,True,Excellent experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
48,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}",5,True,Excellent experience overall,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience overall""}",5,True,Excellent experience with great food and fair price.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and fair price.""}"
49,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Terrible experience,"{""predicted_stars"": 1, ""explanation"": ""Terrible experience""}",1,True,Extremely negative experience with unacceptable service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with unacceptable service""}"
50,1,1,True,Very negative review of food quality.,"{""predicted_stars"": 1, ""explanation"": ""Very negative review of food quality.""}",1,True,Terrible food quality,"{""predicted_stars"": 1, ""explanation"": ""Terrible food quality""}",1,True,Extremely negative experience with poor quality food,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with poor quality food""}"
51,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",3,True,Average experience,"{""predicted_stars"": 3, ""explanation"": ""Average experience""}",3,True,Neutral review with mild preference,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mild preference""}"
52,4,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}",5,True,Excellent atmosphere,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent atmosphere""
}",5,True,Very positive experience with unique atmosphere,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with unique atmosphere""}"
53,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Good food and service,"{""predicted_stars"": 4, ""explanation"": ""Good food and service""}",4,True,Good experience with minor physical issues,"{""predicted_stars"": 4, ""explanation"": ""Good experience with minor physical issues""}"
54,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}",4,True,Generally positive with minor food issues,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor food issues""}"
55,3,3,True,Mixed review with both positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with both positives and negatives.""}",3,True,Mixed feelings about experience,"{
    ""predicted_stars"": 3,
    ""explanation"": ""Mixed feelings about experience""
}",3,True,Mixed review with positives and negatives,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with positives and negatives""}"
56,5,5,True,Excellent food and service overall.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service overall.""}",5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}",5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
57,5,5,True,Extremely positive review.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}",5,True,Reviewer loves it,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves it""}",5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
58,5,5,True,Excellent service and food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food.""}",5,True,Excellent service and food.,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent service and food.""
}",5,True,Extremely positive experience with excellent service,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience with excellent service""}"
59,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",2,True,Multiple problems noted,"{""predicted_stars"": 2, ""explanation"": ""Multiple problems noted""}",2,True,Multiple issues with service and quality,"{""predicted_stars"": 2, ""explanation"": ""Multiple issues with service and quality""}"
60,2,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Business was closed,"{""predicted_stars"": 1, ""explanation"": ""Business was closed""}",1,True,Extremely negative experience with poor service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with poor service""}"
61,2,1,True,Reviewer had a very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Reviewer had a very negative experience""}",2,True,Multiple complaints,"{""predicted_stars"": 2, ""explanation"": ""Multiple complaints""}",2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
62,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,"Great atmosphere, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great atmosphere, minor complaints""}",4,True,Fun experience with minor facility issues,"{""predicted_stars"": 4, ""explanation"": ""Fun experience with minor facility issues""}"
63,3,3,True,Mixed review with some negative comments,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some negative comments""}",3,True,Average experience expected more,"{""predicted_stars"": 3, ""explanation"": ""Average experience expected more""}",3,True,Neutral review with mixed expectations,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed expectations""}"
64,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,"Great food, dirty dining room","{""predicted_stars"": 4, ""explanation"": ""Great food, dirty dining room""}",4,True,"Great food, low price, but dirty dining area","{""predicted_stars"": 4, ""explanation"": ""Great food, low price, but dirty dining area""}"
65,2,2,True,Mostly negative review with some positive notes,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review with some positive notes""}",2,True,Multiple major complaints,"{
    ""predicted_stars"": 2,
    ""explanation"": ""Multiple major complaints""
}",2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
66,5,5,True,Excellent dinner and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent dinner and service.""}",5,True,Excellent dinner,"{""predicted_stars"": 5, ""explanation"": ""Excellent dinner""}",5,True,Excellent experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
67,5,5,True,Reviewer had excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had excellent experience""}",5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}",5,True,Very positive experience,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience""}"
68,2,1,True,Reviewer was not impressed,"{""predicted_stars"": 1, ""explanation"": ""Reviewer was not impressed""}",2,True,Food quality was poor,"{""predicted_stars"": 2, ""explanation"": ""Food quality was poor""}",2,True,Negative experience with food quality issues,"{""predicted_stars"": 2, ""explanation"": ""Negative experience with food quality issues""}"
69,4,5,True,Great time with tasty apps,"{""predicted_stars"": 5, ""explanation"": ""Great time with tasty apps""}",5,True,"Great time, excellent service","{""predicted_stars"": 5, ""explanation"": ""Great time, excellent service""}",5,True,Excellent experience with great food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service""}"
70,3,3,True,Mixed review with both praise and criticism.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with both praise and criticism.""}",3,True,Average due to slow service,"{
    ""predicted_stars"": 3,
    ""explanation"": ""Average due to slow service""
}",3,True,Neutral review with mixed positives and negatives,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed positives and negatives""}"
71,2,1,True,Very negative review,"{""predicted_stars"": 1, ""explanation"": ""Very negative review""}",1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Very negative experience with expansion,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience with expansion""}"
72,5,5,True,Review is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}",5,True,Excellent experience,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent experience""
}",5,True,Glowing review with unique experience,"{""predicted_stars"": 5, ""explanation"": ""Glowing review with unique experience""}"
73,4,5,True,Reviewer loves the bar and staff.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the bar and staff.""}",5,True,"Great bar, no complaints.","{""predicted_stars"": 5, ""explanation"": ""Great bar, no complaints.""}",5,True,Very positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
74,3,2,True,Mixed review with negative comments,"{""predicted_stars"": 2, ""explanation"": ""Mixed review with negative comments""}",3,True,Mixed feelings about experience,"{""predicted_stars"": 3, ""explanation"": ""Mixed feelings about experience""}",3,True,Mixed review with positives and negatives,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with positives and negatives""}"
75,5,5,True,Reviewer had a terrific experience.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had a terrific experience.""}",5,True,Terrific experience,"{""predicted_stars"": 5, ""explanation"": ""Terrific experience""}",5,True,Terrific experience with great service,"{""predicted_stars"": 5, ""explanation"": ""Terrific experience with great service""}"
76,2,1,True,Very negative experience with billing issues.,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience with billing issues.""}",2,True,Double billed twice,"{""predicted_stars"": 2, ""explanation"": ""Double billed twice""}",2,True,Negative experience with billing issues,"{""predicted_stars"": 2, ""explanation"": ""Negative experience with billing issues""}"
77,5,5,True,Reviewer loves the cafe and food.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the cafe and food.""}",5,True,Reviewer loves the cafe,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the cafe""}",5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
78,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}",4,True,Mostly positive with some minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with some minor issues""}"
79,5,5,True,Excellent food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service.""}",5,True,Excellent food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service""}",5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
80,4,5,True,Review is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}",5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}",5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
81,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Good food and service,"{""predicted_stars"": 4, ""explanation"": ""Good food and service""}",4,True,Good experience with friendly staff,"{""predicted_stars"": 4, ""explanation"": ""Good experience with friendly staff""}"
82,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Mostly positive experience,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience""}",4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
83,4,5,True,Reviewer is extremely positive,"{""predicted_stars"": 5, ""explanation"": ""Reviewer is extremely positive""}",4,True,Reviewer likes everything,"{""predicted_stars"": 4, ""explanation"": ""Reviewer likes everything""}",4,True,Positive experience with minor no complaints.,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor no complaints.""}"
84,4,4,True,Mixed review with positive overall tone,"{""predicted_stars"": 4, ""explanation"": ""Mixed review with positive overall tone""}",4,True,"Good food, great atmosphere.","{""predicted_stars"": 4, ""explanation"": ""Good food, great atmosphere.""}",4,True,Good experience with minor food quality issues.,"{""predicted_stars"": 4, ""explanation"": ""Good experience with minor food quality issues.""}"
85,5,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,"Great park, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great park, minor complaints""}",4,True,Mostly positive with minor behavioral issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor behavioral issues""}"
86,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}",5,True,Excellent service and quality.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and quality.""}",5,True,Extremely positive experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
87,4,5,True,Very positive experience overall.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience overall.""}",5,True,Great value and service,"{""predicted_stars"": 5, ""explanation"": ""Great value and service""}",5,True,Very positive experience with good value,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with good value""}"
