review_id,actual_stars,predicted_stars,valid_json,explanation,raw_output
21,5,5,True,Excellent food and service with great value,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service with great value""}"
22,1,1,True,Extremely negative experience with multiple issues,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with multiple issues""}"
23,4,4,True,Generally positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor issues""}"
24,4,5,True,Excellent experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
25,4,4,True,Good experience with satisfying food,"{""predicted_stars"": 4, ""explanation"": ""Good experience with satisfying food""}"
26,1,2,True,Negative review due to high prices,"{""predicted_stars"": 2, ""explanation"": ""Negative review due to high prices""}"
27,4,4,True,Generally positive with minor price complaints,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor price complaints""}"
28,2,2,True,Mixed experience with several issues,"{""predicted_stars"": 2, ""explanation"": ""Mixed experience with several issues""}"
29,2,2,True,Multiple service issues and poor experience,"{""predicted_stars"": 2, ""explanation"": ""Multiple service issues and poor experience""}"
30,1,1,True,Extremely negative experience with bad food,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with bad food""}"
31,1,1,True,Extremely negative experience with multiple issues,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with multiple issues""}"
32,3,4,True,Good food with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Good food with minor issues""}"
33,4,5,True,Extremely positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with no complaints.""}"
34,5,5,True,Exceptional cleanliness and service,"{""predicted_stars"": 5, ""explanation"": ""Exceptional cleanliness and service""}"
35,5,5,True,Very positive experience with friendly staff,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with friendly staff""}"
36,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
37,5,4,True,"Good food, minor issues with wait and portion size","{""predicted_stars"": 4, ""explanation"": ""Good food, minor issues with wait and portion size""}"
38,4,4,True,Generally positive with minor ordering style issue,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor ordering style issue""}"
39,2,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
40,3,2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
41,1,1,True,Extremely negative experience with bad food and service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with bad food and service""}"
42,1,2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
43,3,2,True,Mixed experience with several issues,"{""predicted_stars"": 2, ""explanation"": ""Mixed experience with several issues""}"
44,4,5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
45,4,5,True,Excellent experience with great food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service""}"
46,4,5,True,Very positive experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
47,5,5,True,Excellent experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
48,4,5,True,Excellent experience with great food and fair price.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and fair price.""}"
49,1,1,True,Extremely negative experience with unacceptable service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with unacceptable service""}"
50,1,1,True,Extremely negative experience with poor quality food,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with poor quality food""}"
51,3,3,True,Neutral review with mild preference,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mild preference""}"
52,4,5,True,Very positive experience with unique atmosphere,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with unique atmosphere""}"
53,4,4,True,Good experience with minor physical issues,"{""predicted_stars"": 4, ""explanation"": ""Good experience with minor physical issues""}"
54,4,4,True,Generally positive with minor food issues,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor food issues""}"
55,3,3,True,Mixed review with positives and negatives,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with positives and negatives""}"
56,5,5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
57,5,5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
58,5,5,True,Extremely positive experience with excellent service,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience with excellent service""}"
59,1,2,True,Multiple issues with service and quality,"{""predicted_stars"": 2, ""explanation"": ""Multiple issues with service and quality""}"
60,2,1,True,Extremely negative experience with poor service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with poor service""}"
61,2,2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
62,4,4,True,Fun experience with minor facility issues,"{""predicted_stars"": 4, ""explanation"": ""Fun experience with minor facility issues""}"
63,3,3,True,Neutral review with mixed expectations,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed expectations""}"
64,4,4,True,"Great food, low price, but dirty dining area","{""predicted_stars"": 4, ""explanation"": ""Great food, low price, but dirty dining area""}"
65,2,2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
66,5,5,True,Excellent experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
67,5,5,True,Very positive experience,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience""}"
68,2,2,True,Negative experience with food quality issues,"{""predicted_stars"": 2, ""explanation"": ""Negative experience with food quality issues""}"
69,4,5,True,Excellent experience with great food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service""}"
70,3,3,True,Neutral review with mixed positives and negatives,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed positives and negatives""}"
71,2,1,True,Very negative experience with expansion,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience with expansion""}"
72,5,5,True,Glowing review with unique experience,"{""predicted_stars"": 5, ""explanation"": ""Glowing review with unique experience""}"
73,4,5,True,Very positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
74,3,3,True,Mixed review with positives and negatives,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with positives and negatives""}"
75,5,5,True,Terrific experience with great service,"{""predicted_stars"": 5, ""explanation"": ""Terrific experience with great service""}"
76,2,2,True,Negative experience with billing issues,"{""predicted_stars"": 2, ""explanation"": ""Negative experience with billing issues""}"
77,5,5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
78,3,4,True,Mostly positive with some minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with some minor issues""}"
79,5,5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
80,4,5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
81,4,4,True,Good experience with friendly staff,"{""predicted_stars"": 4, ""explanation"": ""Good experience with friendly staff""}"
82,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
83,4,4,True,Positive experience with minor no complaints.,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor no complaints.""}"
84,4,4,True,Good experience with minor food quality issues.,"{""predicted_stars"": 4, ""explanation"": ""Good experience with minor food quality issues.""}"
85,5,4,True,Mostly positive with minor behavioral issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor behavioral issues""}"
86,5,5,True,Extremely positive experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
87,4,5,True,Very positive experience with good value,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with good value""}"
88,4,5,True,Very positive review,"{""predicted_stars"": 5, ""explanation"": ""Very positive review""}"
89,3,4,True,Generally positive with some minor limitations,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with some minor limitations""}"
90,4,5,True,Very positive experience with great food and wine,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great food and wine""}"
91,3,2,True,Mixed experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mixed experience with multiple issues""}"
92,3,2,True,Negative comparison,"{""predicted_stars"": 2, ""explanation"": ""Negative comparison""}"
93,5,5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
94,4,4,True,Positive experience with minor issues absent,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor issues absent""}"
95,5,5,True,Extremely positive experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
96,4,4,True,Great experience with minor pool issue,"{""predicted_stars"": 4, ""explanation"": ""Great experience with minor pool issue""}"
97,4,5,True,Consistently positive experience,"{""predicted_stars"": 5, ""explanation"": ""Consistently positive experience""}"
98,4,4,True,Mostly positive experience with minor food issue.,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with minor food issue.""}"
99,2,2,True,Tasty but overpriced,"{""predicted_stars"": 2, ""explanation"": ""Tasty but overpriced""}"
100,4,4,True,Mostly positive experience with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with minor issues""}"
101,5,5,True,Glowing review with high praise,"{""predicted_stars"": 5, ""explanation"": ""Glowing review with high praise""}"
102,4,5,True,Excellent experience with great food and atmosphere,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and atmosphere""}"
103,4,3,True,Mixed review with some positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some positives and negatives.""}"
104,2,2,True,Loyal customer turned off by poor service,"{""predicted_stars"": 2, ""explanation"": ""Loyal customer turned off by poor service""}"
105,3,4,True,Mostly positive experience with a major product issue.,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with a major product issue.""}"
106,1,1,True,Extremely negative review with strong insults,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative review with strong insults""}"
107,2,2,True,Negative experience with hidden charges,"{""predicted_stars"": 2, ""explanation"": ""Negative experience with hidden charges""}"
108,5,5,True,Very positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
109,5,5,True,Excellent experience with great food and service,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service""}"
110,4,5,True,Very positive review with minor complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with minor complaints.""}"
111,4,5,True,Very positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
112,4,5,True,Very positive experience with excellent products,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with excellent products""}"
113,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
114,5,5,True,Very positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
115,4,5,True,Strongly positive review,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive review""}"
116,3,3,True,Mixed review with neutral experience,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with neutral experience""}"
117,1,2,True,Mostly negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
118,5,5,True,Extremely positive review with love,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with love""}"
119,3,4,True,Mostly positive with minor suggestions,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor suggestions""}"
120,1,1,True,Extremely negative experience,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}"
121,5,5,True,Extremely positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with no complaints.""}"
122,4,4,True,Positive experience with minor food issue,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor food issue""}"
123,4,4,True,Generally positive with minor comparisons,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor comparisons""}"
124,4,5,True,Very positive experience,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience""}"
125,4,5,True,Very positive review with minor service issue,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with minor service issue""}"
126,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
127,4,5,True,Extremely positive experience with minor issues.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience with minor issues.""}"
128,5,5,True,Strongly positive review,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive review""}"
129,4,5,True,Very positive experience with excellent food,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with excellent food""}"
130,3,3,True,Mixed review with some positives and negatives,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some positives and negatives""}"
131,4,4,True,Positive experience with minor music issue,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor music issue""}"
132,3,4,True,Generally positive with minor suggestions,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor suggestions""}"
133,4,5,True,Very positive experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great food""}"
134,5,5,True,Very positive experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
135,5,5,True,Excellent experience with great food and service.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and service.""}"
136,4,4,True,Generally positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor issues""}"
137,3,4,True,Generally positive with minor limitations,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor limitations""}"
138,4,4,True,Mostly positive experience with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with minor issues""}"
139,4,5,True,Very positive experience with friendly service,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with friendly service""}"
140,1,2,True,Mostly negative with some minor positives,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative with some minor positives""}"
141,5,5,True,Extremely positive experience with consistent quality.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience with consistent quality.""}"
142,4,3,True,Mixed review with balanced positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with balanced positives and negatives.""}"
143,4,4,True,Mostly positive with minor wine complaint,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor wine complaint""}"
144,3,2,True,Mixed review with more negatives,"{""predicted_stars"": 2, ""explanation"": ""Mixed review with more negatives""}"
145,5,5,True,Extremely positive experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
146,5,5,True,Excellent experience with great service and food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great service and food.""}"
147,4,4,True,Generally positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor issues""}"
148,4,5,True,Excellent experience with minor personal preference issue,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with minor personal preference issue""}"
149,3,5,True,Very positive experience with great food and service,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great food and service""}"
150,4,5,True,Excellent pizza quality and nostalgic experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent pizza quality and nostalgic experience""}"
151,5,5,True,Exceptional experience with unique features,"{""predicted_stars"": 5, ""explanation"": ""Exceptional experience with unique features""}"
152,5,5,True,Excellent experience with great food and beer,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food and beer""}"
153,4,4,True,Good food and prices with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Good food and prices with minor issues""}"
154,2,2,True,Decent food with poor service issues,"{""predicted_stars"": 2, ""explanation"": ""Decent food with poor service issues""}"
155,5,5,True,Excellent experience with great acting,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great acting""}"
156,4,5,True,Very positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
157,1,1,True,Extremely negative experience with bad food,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with bad food""}"
158,2,2,True,Mostly negative experience with high prices,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with high prices""}"
159,3,3,True,Neutral review with mixed positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed positives and negatives.""}"
160,4,5,True,Very positive review with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
161,2,1,True,Extremely negative experience with car trouble,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with car trouble""}"
162,1,2,True,Poor service and mediocre food,"{""predicted_stars"": 2, ""explanation"": ""Poor service and mediocre food""}"
163,4,5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
164,4,5,True,Very positive experience with many strengths,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with many strengths""}"
165,5,5,True,Excellent experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with no complaints.""}"
166,4,5,True,Very positive review with high praise,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with high praise""}"
167,4,4,True,Generally positive with minor quality issue,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor quality issue""}"
168,4,5,True,Excellent experience with minor room issues,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with minor room issues""}"
169,4,4,True,Mostly positive experience with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with minor issues""}"
170,3,4,True,Positive experience for kids,"{""predicted_stars"": 4, ""explanation"": ""Positive experience for kids""}"
171,3,3,True,Mixed review with some positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some positives and negatives.""}"
172,4,4,True,"Great food, minor atmosphere issues","{""predicted_stars"": 4, ""explanation"": ""Great food, minor atmosphere issues""}"
173,5,5,True,Glowing review with minor criticism,"{""predicted_stars"": 5, ""explanation"": ""Glowing review with minor criticism""}"
174,5,5,True,Exceptional experience with excellent service,"{""predicted_stars"": 5, ""explanation"": ""Exceptional experience with excellent service""}"
175,4,5,True,Very positive experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great food""}"
176,3,2,True,Negative review due to overpricing,"{""predicted_stars"": 2, ""explanation"": ""Negative review due to overpricing""}"
177,1,1,True,Extremely negative experience with poor service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with poor service""}"
178,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
179,4,5,True,Very positive experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
180,3,5,True,Very positive experience,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience""}"
181,5,5,True,Excellent service and quality experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and quality experience""}"
182,5,5,True,Excellent happy hour experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent happy hour experience""}"
183,5,5,True,Extremely positive experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
184,4,4,True,Positive experience with minor service issue,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor service issue""}"
185,2,3,True,Neutral review with mild criticism,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mild criticism""}"
186,4,4,True,Mostly positive with minor issue,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issue""}"
187,3,4,True,Generally positive with some minor issues,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with some minor issues""}"
188,5,5,True,Extremely positive experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
189,5,5,True,Excellent quality and value,"{""predicted_stars"": 5, ""explanation"": ""Excellent quality and value""}"
190,3,3,True,Mixed review with good service and average food,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with good service and average food""}"
191,4,5,True,Outstanding experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Outstanding experience with great food""}"
192,5,5,True,Extremely positive experience,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
193,3,4,True,Generally positive with minor atmosphere issue,"{""predicted_stars"": 4, ""explanation"": ""Generally positive with minor atmosphere issue""}"
194,5,5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
195,4,5,True,Very positive experience with Apple products,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with Apple products""}"
196,4,5,True,Excellent experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with no complaints.""}"
197,3,5,True,Excellent traditional mexican food experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent traditional mexican food experience""}"
198,4,5,True,Excellent food and service experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent food and service experience""}"
199,5,5,True,Extremely positive experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience with no complaints.""}"
