repeat,review_id,actual_stars,predicted_stars,valid_json,raw_output
1,16,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
1,17,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Tasty but overpriced""}"
1,18,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Good experience with some minor issues""}"
1,19,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with helpful staff""}"
2,0,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
2,1,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}"
2,2,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with multiple issues""}"
2,3,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great atmosphere""}"
2,4,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with Apple products""}"
2,5,3,4,True,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with routine visits""}"
2,6,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with no complaints.""}"
2,7,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with nice staff""}"
2,8,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
2,9,3,3,True,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed expectations""}"
2,10,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
2,11,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Great experience with minor pool issue""}"
2,12,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with minor issues""}"
2,13,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
2,14,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
2,15,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great acting and music""}"
2,16,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
2,17,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Tasty but overpriced""}"
2,18,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Good food and prices with minor issues""}"
2,19,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
